,fuel,Pc,eps,Cstar,MR,PcOvPe,subar,Tc,Tt,Te,Isp,gamma
6555,propane,27.5,1.1139587328628426,1124.7811415861472,0.75,2.7147087857847976,2,1112.8739042667335,1049.3450824670624,1002.1754439156208,147.26849510370192,1.1430649285829755
6556,propane,27.5,1.1121686346316426,1169.144446333814,1.0,2.7147087857847976,3,1177.8837785579613,1107.2276327532086,1056.4611976685082,153.13644743542312,1.1485019319601735
6557,propane,27.5,1.1121686346316426,1169.144446333814,1.0,2.7147087857847976,2,1177.8837785579613,1107.2276327532086,1056.4611976685082,153.13644743542312,1.1485019319601735
6558,propane,27.5,1.1095240070647165,1203.2730918758123,1.25,2.7147087857847976,3,1237.4910969221116,1157.2096909274778,1101.8887055871414,157.67995579298506,1.1570466581515555
6559,propane,27.5,1.1095240070647165,1203.2730918758123,1.25,2.7147087857847976,2,1237.4910969221116,1157.2096909274778,1101.8887055871414,157.67995579298506,1.1570466581515555
6560,propane,27.5,1.1060963130613306,1231.5605990547751,1.5,2.7147087857847976,3,1298.3419147696295,1204.7490363420059,1143.3909023601484,161.480263415035,1.1686291481295543
6561,propane,27.5,1.1060963130613306,1231.5605990547751,1.5,2.7147087857847976,2,1298.3419147696295,1204.7490363420059,1143.3909023601484,161.480263415035,1.1686291481295543
6562,propane,27.5,1.1018757577237983,1256.5941410537973,1.75,2.7147087857847976,3,1365.1745314827022,1253.4230041969163,1184.0830905674602,164.8792783122427,1.183521438867072
6563,propane,27.5,1.1018757577237983,1256.5941410537973,1.75,2.7147087857847976,2,1365.1745314827022,1253.4230041969163,1184.0830905674602,164.8792783122427,1.183521438867072
6564,propane,27.5,1.0968766107076466,1280.073030696055,2.0,2.7147087857847976,3,1440.6696005125655,1305.7255900369846,1226.165308272494,168.08543453863317,1.2021214670035185
6565,propane,27.5,1.0968766107076466,1280.073030696055,2.0,2.7147087857847976,2,1440.6696005125655,1305.7255900369846,1226.165308272494,168.08543453863317,1.2021214670035185
6566,propane,27.5,1.0913506150465133,1303.1620583188014,2.25,2.7147087857847976,3,1524.0617201525529,1362.9585008645417,1271.2022913135102,171.21089165420187,1.2242760674217499
6567,propane,27.5,1.0913506150465133,1303.1620583188014,2.25,2.7147087857847976,2,1524.0617201525529,1362.9585008645417,1271.2022913135102,171.21089165420187,1.2242760674217499
